MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 06,Brooklyn,18,5780.18,608.52,491.41,3,318
2014 / 06,Staten Island,02,4817.62,621.27,544.03,5,502
2014 / 06,Bronx,02,1516.62,79.34,98.71,2,202
2014 / 06,Staten Island,03,6344.31,848.98,740.24,5,503
2014 / 06,Manhattan,08,5341.51,1183.36,641.47,1,108
2014 / 06,Brooklyn,02,2443.83,440.45,296.82,3,302
2014 / 06,Bronx,03,1816.16,101.0,100.13,2,203
2014 / 06,Brooklyn,17,4590.32,332.0,360.2,3,317
2014 / 06,Manhattan,07,5134.73,1114.26,664.37,1,107
2014 / 06,Brooklyn,10,3382.01,565.19,371.25,3,310
2014 / 06,Manhattan,09,2493.46,257.17,195.4,1,109
2014 / 06,Manhattan,04,2269.74,434.53,314.6,1,104
2014 / 06,Brooklyn,04,3214.86,219.55,254.43,3,304
2014 / 06,Bronx,10,2617.88,331.14,313.53,2,210
2014 / 06,Bronx,07,3629.73,251.13,307.12,2,207
2014 / 06,Manhattan,12,5034.5,404.19,394.09,1,112
2014 / 06,Brooklyn,09,3155.35,221.63,165.74,3,309
2014 / 06,Queens,05,4945.74,678.44,592.27,4,405
2014 / 06,Queens,13,5997.35,563.48,649.7,4,413
2014 / 06,Queens,10,4239.52,440.63,402.87,4,410
2014 / 06,Bronx,08,2383.06,324.8,281.52,2,208
2014 / 06,Queens,04,4343.35,362.53,280.28,4,404
2014 / 06,Bronx,09,3863.37,196.52,254.6,2,209
2014 / 06,Brooklyn,16,1972.24,98.85,107.55,3,316
2014 / 06,Queens,09,4283.27,476.81,429.44,4,409
2014 / 06,Queens,14,3473.47,236.93,187.22,4,414
2014 / 06,Manhattan,03,2974.36,315.54,240.21,1,103
2014 / 06,Brooklyn,01,4985.95,488.78,382.09,3,301
2014 / 06,Brooklyn,15,4565.32,608.08,401.5,3,315
2014 / 06,Manhattan,05,1286.84,257.19,143.91,1,105
2014 / 06,Staten Island,01,5764.72,650.15,687.27,5,501
2014 / 06,Brooklyn,03,4173.0,267.58,240.0,3,303
2014 / 06,Queens,02,2913.09,416.7,293.27,4,402
2014 / 06,Brooklyn,05,4550.41,260.16,312.28,3,305
2014 / 06,Manhattan,02,2037.28,457.19,292.87,1,102
2014 / 06,Manhattan,01,1283.46,356.05,205.61,1,101
2014 / 06,Brooklyn,12,6103.15,678.72,367.81,3,312
2014 / 06,Bronx,04,4178.95,208.87,228.81,2,204
2014 / 06,Brooklyn,13,2208.13,167.12,151.96,3,313
2014 / 06,Brooklyn,14,4940.11,479.11,320.14,3,314
2014 / 06,Brooklyn,06,2226.85,592.04,392.97,3,306
2014 / 06,Manhattan,10,2835.23,217.27,171.73,1,110
2014 / 06,Queens,07,6870.55,881.37,594.08,4,407
2014 / 06,Brooklyn,07,3348.9,456.56,355.63,3,307
2014 / 06,Brooklyn,11,4937.02,659.94,429.8,3,311
2014 / 06,Queens,08,3803.46,512.88,344.49,4,408
2014 / 06,Brooklyn,08,2792.22,249.17,223.58,3,308
2014 / 06,Manhattan,11,2228.99,194.77,141.48,1,111
2014 / 06,Queens,12,7260.22,513.16,655.32,4,412
2014 / 06,Queens,03,4933.8,392.35,358.83,4,403
2014 / 06,Bronx,05,3425.57,192.13,248.6,2,205
2014 / 06,Bronx,01,1949.72,105.75,108.56,2,201
2014 / 07,Queens,09,4547.36,463.94,443.03,4,409
2014 / 07,Manhattan,10,2998.75,247.28,198.64,1,110
